,Commune,Nombre_pieces_principales,Surface_reelle_bati,Valeur_fonciere,Nature_culture,Cluster
0,ABANCOURT,8.0,192.5,184000.0,S,1
1,ABAUCOURT,3.5,84.0,152500.0,S,0
2,ABBANS DESSUS,2.0,80.0,89000.0,S,0
3,ABBARETZ,3.0,93.0,130000.0,S,0
4,ABBECOURT,6.0,116.0,235000.0,S,1
5,ABBEVILLE,2.5,61.0,111000.0,S,0
6,ABBEVILLE ST LUCIEN,5.0,150.0,275000.0,S,2
7,ABBEVILLE-LA-RIVIERE,6.0,121.0,249000.0,S,1
8,ABBEVILLERS,4.0,74.5,242250.0,S,2
9,ABEILHAN,4.0,78.0,127700.0,S,2
10,ABERGEMENT STE COLOMBE L,6.0,156.0,162500.0,P,1
11,ABERGEMENT-DE-CUISERY (L ),1.0,145.0,60000.0,S,1
12,ABERGEMENT-DE-VAREY (L ),2.0,60.0,450000.0,S,0
13,ABERGEMENT-LA-RONCE,5.0,110.0,183500.0,S,2
14,ABERGEMENT-LE-GRAND,2.0,70.0,145000.0,S,0
15,ABILLY,3.0,70.0,84975.0,S,0
16,ABITAIN,3.0,100.0,130000.0,S,0
17,ABJAT-SUR-BANDIAT,4.0,94.0,90000.0,S,2
18,ABLAIN-ST-NAZAIRE,5.5,126.0,266000.0,S,1
19,ABLEIGES,6.0,118.0,315000.0,S,1
20,ABLIS,4.0,92.0,215000.0,S,2
21,ABLON,5.0,138.0,281000.0,S,2
22,ABLON-SUR-SEINE,2.0,37.5,148695.0,S,0
23,ABOEN,3.0,103.0,222000.0,S,0
24,ABONDANCE,0.0,0.0,104000.0,S,1
25,ABONDANT,5.0,100.0,241000.0,S,2
26,ABREST,3.0,80.0,94500.0,S,0
27,ABRIES,4.0,81.0,180000.0,S,2
28,ABRIES-RISTOLAS,2.0,30.5,87000.0,S,0
29,ABSCON,4.0,90.0,110000.0,S,2
30,ABZAC,3.0,85.0,137000.0,S,0
31,ACCOUS,4.0,90.0,110000.0,S,2
32,ACHERES,2.0,54.5,229900.0,S,0
33,ACHERES-LA-FORET,3.0,82.0,255000.0,S,0
34,ACHERY,4.0,95.0,98000.0,S,2
35,ACHEUX-EN-AMIENOIS,5.0,152.0,210000.0,S,2
36,ACHEVILLE,4.5,129.0,256952.5,S,2
37,ACHICOURT,4.0,83.0,160000.0,S,2
38,ACHIET-LE-PETIT,2.5,71.0,160250.0,S,0
39,ACHY,4.0,112.0,290040.0,P,0
40,ACIGNE,4.0,72.0,165700.0,S,2
41,ACON,3.0,50.0,120000.0,S,0
42,ACQUIGNY,4.5,105.0,229500.0,S,2
43,ACY,5.0,101.5,153300.0,S,2
44,ACY EN MULTIEN,3.0,75.0,210000.0,S,0
45,ACY-ROMANCE,5.0,79.0,62000.0,S,2
46,ADAINVILLE,4.0,86.5,275690.0,J,0
47,ADAM LES PASSAVANT,7.0,250.0,187000.0,S,1
48,ADE,5.0,135.0,175000.0,S,2
49,ADERVIELLE-POUCHERGUES,1.0,26.0,29000.0,S,1
50,ADISSAN,4.0,70.0,35000.0,S,2
51,ADON,4.0,100.0,75000.0,S,2
52,ADRIERS,2.5,82.0,64500.0,S,0
53,AFA,1.5,114.5,484000.0,S,1
54,AFFLEVILLE,3.0,93.0,209950.0,S,0
55,AFFOUX,4.0,107.0,135000.0,S,2
56,AFFRACOURT,6.0,180.0,243000.0,S,1
57,AGDE,1.0,24.0,92000.0,S,1
58,AGEL,3.0,85.0,139000.0,S,0
59,AGEN,2.0,53.0,95000.0,S,0
60,AGEN-D AVEYRON,5.5,136.0,237225.0,S,1
61,AGENVILLERS,2.0,57.0,75000.0,S,0
62,AGEY,1.0,50.0,206650.0,S,1
63,AGHIONE,3.5,109.0,105000.0,S,0
64,AGINCOURT,1.5,28.5,115000.0,S,1
65,AGNAC,5.0,153.5,306879.0,S,2
66,AGNEAUX,4.0,81.0,146200.0,S,2
67,AGNETZ,4.0,100.0,260000.0,S,2
68,AGNIERES,4.0,81.0,220000.0,S,2
69,AGNIN,5.5,132.0,72750.0,S,1
70,AGNOS,5.0,143.0,304000.0,S,2
71,AGNY,4.0,81.0,121000.0,S,2
72,AGON-COUTAINVILLE,4.0,89.0,295500.0,S,2
73,AGONAC,2.0,75.0,100000.0,S,0
74,AGONES,5.0,130.5,167375.0,S,2
75,AGRIS,2.5,55.0,126250.0,J,0
76,AGUESSAC,3.5,62.0,185000.0,S,0
77,AGY,4.0,90.0,203550.0,S,2
78,AHAXE-ALCIETTE-BASCASSAN,5.0,140.0,220000.0,S,2
79,AHETZE,3.0,89.0,380000.0,S,0
80,AHUILLE,5.0,89.0,115000.0,S,2
81,AHUN,2.0,41.0,83000.0,S,0
82,AHUY,2.0,43.0,223900.0,S,0
83,AIBRE,5.0,80.5,142500.0,S,2
84,AICIRITS-CAMOU-SUHAST,0.0,0.0,169500.0,S,1
85,AIFFRES,4.5,101.0,135000.0,S,2
86,AIGALIERS,4.0,147.0,349000.0,S,2
87,AIGLEMONT,4.0,80.0,145000.0,S,2
88,AIGLEPIERRE,4.5,128.0,200015.0,S,2
89,AIGNAN,4.0,63.0,115000.0,S,2
90,AIGNAY-LE-DUC,2.5,58.5,35000.0,S,0
91,AIGNE,4.0,120.0,190200.0,S,2
92,AIGNY,5.0,114.5,178400.0,S,2
93,AIGONDIGNE,3.0,90.0,130200.0,S,0
94,AIGRE,4.0,113.0,122500.0,S,2
95,AIGREFEUILLE,4.0,86.5,255260.0,S,2
96,AIGREFEUILLE SUR MAINE,3.0,90.0,163425.0,S,0
97,AIGREFEUILLE-D AUNIS,4.0,94.0,200000.0,S,2
98,AIGREMONT,4.0,102.0,365300.0,S,2
99,AIGUEBELETTE-LE-LAC,4.0,114.0,341550.0,S,2
100,AIGUEBELLE,3.0,77.0,81000.0,S,0
101,AIGUEBLANCHE,4.0,77.5,149100.0,S,2
102,AIGUEFONDE,4.0,88.0,68000.0,S,2
103,AIGUEPERSE,4.0,96.0,95000.0,S,2
104,AIGUES-MORTES,3.0,77.0,270000.0,S,0
105,AIGUES-VIVES,0.0,38.0,205000.0,S,1
106,AIGUEZE,3.0,112.0,145000.0,S,0
107,AIGUILHE,4.0,68.0,127237.96,S,2
108,AIGUILLES,1.0,26.0,32160.0,S,1
109,AIGUILLON,3.0,73.0,107805.0,S,0
110,AIGUILLON-SUR- VIE (L'),3.0,61.0,152000.0,S,0
111,AIGUILLON-SUR-MER (L ),3.0,80.0,153500.0,S,0
112,AIGUINES,3.5,101.5,331000.0,S,0
113,AIGURANDE,3.0,81.0,8000.0,S,0
114,AILLANT-SUR-MILLERON,3.0,70.0,146000.0,AG,0
115,AILLAS,4.0,113.0,125000.0,S,2
116,AILLEVILLERS-ET-LYAUMONT,3.0,89.0,100000.0,S,0
117,AILLIANVILLE,0.0,0.0,128000.0,S,1
118,AILLON-LE-JEUNE,3.0,45.0,108890.0,S,0
119,AILLONCOURT,4.0,98.0,157000.0,S,2
120,AILLY,4.0,84.0,188500.0,S,2
121,AILLY-LE-HAUT-CLOCHER,2.0,74.5,112500.0,S,0
122,AILLY-SUR-NOYE,4.0,87.0,164000.0,S,2
123,AILLY-SUR-SOMME,3.5,86.0,179475.0,S,0
124,AIMARGUES,3.0,80.0,200000.0,S,0
125,AIME LA PLAGNE,2.0,34.0,136000.0,S,0
126,AINAY LE CHATEAU,2.5,98.5,49000.0,S,0
127,AINCOURT,2.0,40.0,243850.0,S,0
128,AINHICE-MONGELOS,0.0,0.0,170000.0,S,1
129,AINHOA,7.5,121.5,952217.5,S,1
130,AINVELLE,5.0,93.0,98000.0,S,2
131,AIRAINES,4.5,98.5,124000.0,S,2
132,AIRE,5.0,101.0,108000.0,S,2
133,AIRE-SUR-L'ADOUR,4.0,81.0,100000.0,S,2
134,AIRE-SUR-LA-LYS,5.0,90.0,103000.0,S,2
135,AIREL,5.0,90.0,110000.0,S,2
136,AIRION,4.0,115.5,175636.4,J,0
137,AIRON-ST-VAAST,3.0,80.0,80000.0,S,0
138,AIROUX,4.0,160.0,60000.0,S,2
139,AIRVAULT,3.0,84.0,73500.0,S,0
140,AISEREY,4.0,88.0,180130.0,S,2
141,AISSEY,0.0,0.0,90000.0,S,1
142,AISY SUR ARMANCON,3.0,90.0,38500.0,S,0
143,AITON,4.0,99.0,238126.0,S,2
144,AIX,4.0,91.0,156750.0,AG,0
145,AIX EN PROVENCE,1.0,32.0,227000.0,S,1
146,AIX LES BAINS,2.0,43.0,192000.0,S,0
147,AIX NOULETTE,4.0,94.0,163500.0,S,2
148,AIX-EN-PEVELE,5.0,129.0,311010.0,S,2
149,AIX-VILLEMAUR-PALIS,4.5,106.5,80000.0,S,2
150,AIXE-SUR-VIENNE,4.0,89.5,125000.0,S,2
151,AIZAC,3.0,60.0,96000.0,S,0
152,AIZECOURT-LE-HAUT,6.0,96.0,85000.0,S,1
153,AIZENAY,4.0,88.0,193500.0,S,2
154,AIZY-JOUY,3.5,90.5,92000.0,S,0
155,AJAC,6.0,200.0,226500.0,S,1
156,AJACCIO,2.0,60.0,179000.0,S,0
157,AJAIN,9.0,187.0,65000.0,S,1
158,AJOUPA BOUILLON,4.0,63.0,70000.0,S,2
159,AJOUX,3.0,45.0,52300.0,S,0
160,ALAINCOURT,5.0,122.0,190000.0,S,2
161,ALAIRAC,4.0,92.0,58000.0,S,2
162,ALAN,5.0,122.5,120000.0,S,2
163,ALATA,3.0,75.0,436200.0,S,0
164,ALBA-LA-ROMAINE,1.0,48.0,96000.0,S,1
165,ALBARET-SAINTE-MARIE,5.0,112.0,201680.0,S,2
166,ALBAS,4.0,95.0,29000.0,S,2
167,ALBERT,3.5,67.5,112170.0,S,0
168,ALBERTVILLE,0.0,36.0,125000.0,S,1
169,ALBI,3.0,72.0,140000.0,S,0
170,ALBIAS,5.0,133.0,191695.0,S,2
171,ALBIEZ-MONTROND,1.0,21.0,60000.0,S,1
172,ALBIGNY-SUR-SAONE,0.0,0.0,209500.0,S,1
173,ALBINE,0.0,1605.0,43000.0,S,1
174,ALBITRECCIA,2.0,32.0,228000.0,S,0
175,ALBON,4.5,96.5,240000.0,S,2
176,ALBOUSSIERE,3.5,102.0,151175.0,S,0
177,ALBUSSAC,3.5,111.0,72000.0,S,0
178,ALBY-SUR-CHERAN,4.0,83.5,212900.0,S,2
179,ALCAY ALCABEHETY SUNHARETT,0.0,0.0,75910.0,S,1
180,ALDUDES,0.0,0.0,170000.0,S,1
181,ALEMBON,5.0,90.0,145000.0,S,2
182,ALENCON,3.0,65.0,83300.0,S,0
183,ALENYA,2.0,74.0,265000.0,S,0
184,ALERIA,2.5,54.0,106567.5,S,0
185,ALES,3.0,66.5,90000.0,S,0
186,ALET-LES-BAINS,4.0,89.0,168225.0,S,2
187,ALETTE,3.0,61.0,110000.0,S,0
188,ALEX,2.0,50.0,525250.0,S,0
189,ALEXAIN,5.0,125.5,147500.0,AB,2
190,ALFORTVILLE,1.0,28.0,224450.0,S,1
191,ALGAJOLA,0.0,14.5,226334.0,S,1
192,ALGANS,4.0,105.0,64090.0,S,2
193,ALIEZE,0.0,0.0,57000.0,S,1
194,ALIGNAN DU VENT,4.0,90.0,230000.0,S,2
195,ALISE-SAINTE-REINE,3.5,148.5,148500.0,S,0
196,ALISSAS,4.0,98.0,199875.0,S,2
197,ALIX,5.0,108.5,338275.0,S,2
198,ALIXAN,5.0,130.0,241500.0,S,2
199,ALIZAY,2.0,370.0,211500.0,S,0
200,ALLAIN,2.5,314.5,135410.0,S,0
201,ALLAINES,5.0,107.0,148550.0,S,2
202,ALLAINES-MERVILLIERS,0.0,0.0,135000.0,S,1
203,ALLAIRE,4.0,84.5,62500.0,S,2
204,ALLAMPS,5.0,130.0,159000.0,S,2
205,ALLAN,6.0,125.0,247000.0,S,1
206,ALLANCHE,1.0,19.0,70850.0,S,1
207,ALLAND HUY ET SAUSSEUIL,4.0,93.0,90000.0,AG,0
208,ALLARMONT,2.0,69.0,25000.0,S,0
209,ALLASSAC,4.0,109.0,146350.0,S,2
210,ALLAUCH,3.0,73.0,275000.0,S,0
211,ALLEGRE,3.5,75.5,156500.0,S,0
212,ALLEINS,4.0,80.0,277370.0,S,2
213,ALLEMAGNE-EN-PROVENCE,3.0,75.5,162875.0,S,0
214,ALLEMANS,3.0,72.0,179000.0,S,0
215,ALLEMANS-DU-DROPT,4.0,76.0,100000.0,S,2
216,ALLEMOND,3.5,78.5,178061.0,S,0
217,ALLEMONT,1.0,27.0,59000.0,S,1
218,ALLENC,4.0,56.5,97500.0,S,2
219,ALLENJOIE,5.0,125.0,143000.0,S,2
220,ALLENNES-LES-MARAIS,5.0,90.0,176000.0,S,2
221,ALLEREY-SUR-SAONE,4.0,161.0,127000.0,S,2
222,ALLERIOT,6.0,150.0,155000.0,T,1
223,ALLERY,2.0,119.0,81000.0,S,0
224,ALLES-SUR-DORDOGNE,0.0,0.0,190000.0,S,1
225,ALLEUZE,0.0,0.0,8000.0,S,1
226,ALLEVARD,1.0,26.0,100000.0,S,1
227,ALLEX,2.0,50.5,146850.0,S,0
228,ALLEYRAC,0.0,200.0,40000.0,S,1
229,ALLEYRAS,4.0,60.0,54000.0,S,2
230,ALLEYRAT,5.0,111.0,100000.0,AG,0
231,ALLIANCELLES,4.0,100.0,60000.0,S,2
232,ALLIAT,4.0,108.0,141000.0,S,2
233,ALLIER,4.0,97.0,91000.0,S,2
234,ALLIGNY COSNE,2.0,48.5,58500.0,S,0
235,ALLIGNY-EN-MORVAN,3.0,85.0,76500.0,S,0
236,ALLINEUC,6.0,139.0,83900.0,S,1
237,ALLINGES,4.5,83.5,277500.0,S,2
238,ALLOGNY,0.0,0.0,220000.0,AG,1
239,ALLOINAY,2.0,75.0,79750.0,S,0
240,ALLONDRELLE-LA-MALMAISON,5.0,118.0,130000.0,S,2
241,ALLONNE,5.0,87.0,140000.0,S,2
242,ALLONNES,4.0,82.0,117500.0,S,2
243,ALLONS,1.5,45.0,125000.0,PA,1
244,ALLONVILLE,6.0,132.0,277000.0,S,1
245,ALLONZIER-LA-CAILLE,3.0,80.0,245107.4,S,0
246,ALLOS,1.0,18.5,50075.0,S,1
247,ALLOUAGNE,4.0,95.0,110000.0,S,2
248,ALLUETS-LE-ROI (LES),6.0,100.0,851050.0,S,1
249,ALLUY,0.0,48.0,52000.0,S,1
250,ALLUYES,3.5,60.5,101700.0,S,0
251,ALLY,4.0,78.0,86000.0,S,2
252,ALMENECHES,4.0,90.0,95000.0,S,2
253,ALOXE-CORTON,0.0,1007.0,350000.0,S,1
254,ALRANCE,2.5,90.0,97300.0,T,0
255,ALTHEN DES PALUDS,4.0,65.0,230000.0,S,2
256,ALTILLAC,3.0,50.0,100000.0,S,0
257,ALUZE,4.5,114.5,142750.0,S,2
258,ALVIGNAC,0.0,0.0,230000.0,VE,1
259,ALVIMARE,3.5,119.5,166675.0,VE,0
260,ALZON,3.0,50.0,45305.0,S,0
261,ALZONNE,3.0,100.0,94000.0,S,0
262,AMAGE,6.0,111.0,125000.0,T,1
263,AMAGNE,5.0,94.5,129625.0,S,2
264,AMAGNEY,6.0,141.0,164000.0,S,1
265,AMAILLOUX,3.0,90.0,67000.0,S,0
266,AMANCE,1.5,148.0,13000.0,S,1
267,AMANCY,0.0,0.0,303250.0,S,1
268,AMANLIS,4.0,89.0,200000.0,S,2
269,AMANZE,4.0,168.0,240000.0,S,2
270,AMATHAY-VESIGNEUX,0.0,0.0,67025.0,S,1
271,AMAYE-SUR-ORNE,4.0,89.5,170150.0,S,2
272,AMBARES-ET-LAGRAVE,4.0,86.5,223537.5,S,2
273,AMBAZAC,3.0,69.0,83900.0,S,0
274,AMBENAY,5.5,117.0,113600.0,AG,0
275,AMBERAC,4.0,120.0,83000.0,S,2
276,AMBERIEU-EN-BUGEY,3.0,69.0,150000.0,S,0
277,AMBERIEUX-EN-DOMBES,3.0,90.0,275000.0,S,0
278,AMBERNAC,5.0,108.0,7500.0,S,2
279,AMBERRE,4.0,108.0,189900.0,AG,0
280,AMBERT,3.0,70.0,68700.0,S,0
281,AMBES,4.5,99.5,204500.0,S,2
282,AMBEYRAC,3.0,54.0,34300.0,S,0
283,AMBIALET,3.0,48.0,87500.0,S,0
284,AMBIERLE,3.0,80.5,131710.0,S,0
285,AMBILLOU,4.0,90.0,164000.0,S,2
286,AMBILLY,1.0,25.0,193000.0,S,1
287,AMBLAINVILLE,3.5,68.0,201500.0,S,0
288,AMBLENY,4.0,100.0,148000.0,J,0
289,AMBLETEUSE,4.0,102.0,275600.0,S,2
290,AMBLEVILLE,3.0,81.5,160000.0,S,0
291,AMBOISE,4.0,75.0,180650.0,S,2
292,AMBON,4.5,142.5,295500.0,S,2
293,AMBRAULT,4.5,138.0,131500.0,S,2
294,AMBRES,5.5,177.5,221050.0,S,1
295,AMBRICOURT,6.0,145.0,122000.0,S,1
296,AMBRIERES,5.0,124.0,169100.0,S,2
297,AMBRIERES LES VALLEES,3.5,64.0,35000.0,S,0
298,AMBRIERES-LES-VALLEES,0.0,102.5,30000.0,S,1
299,AMBRINES,4.0,82.0,172000.0,S,2
300,AMBRONAY,5.0,112.0,171000.0,S,2
301,AMBRUMESNIL,4.0,110.0,163000.0,VE,0
302,AMECOURT,5.0,100.0,170000.0,AG,0
303,AMELIE LES BAINS,1.0,29.0,54337.5,S,1
304,AMENDEUIX-ONEIX,0.0,1023.0,1.0,S,1
305,AMENUCOURT,4.5,98.5,238500.0,S,2
306,AMES,5.0,173.0,80500.0,S,2
307,AMETTES,3.0,55.0,143500.0,S,0
308,AMFREVILLE,5.0,89.0,203850.0,S,2
309,AMFREVILLE LES CHAMPS,5.0,90.0,185000.0,AG,0
310,AMFREVILLE-LA-MIVOIE,4.0,82.5,187300.0,S,2
311,AMFREVILLE-LES-CHAMPS,4.0,93.0,204500.0,S,2
312,AMFREVILLE-SUR-ITON,3.5,90.0,229400.0,S,0
313,AMFROIPRET,3.0,88.0,102000.0,S,0
314,AMIENS,2.0,45.5,137500.0,S,0
315,AMIFONTAINE,0.0,0.0,166000.0,S,1
316,AMIGNY ROUY,4.0,107.0,133325.0,J,0
317,AMILLIS,5.0,108.0,211000.0,S,2
318,AMILLY,4.0,88.0,130962.5,S,2
319,AMNE EN CHAMPAGNE,3.5,103.5,145000.0,S,0
320,AMONT-ET-EFFRENEY,3.0,69.0,26000.0,S,0
321,AMOU,3.5,75.5,105190.0,S,0
322,AMPLEPUIS,3.5,86.0,133925.0,S,0
323,AMPLIER,5.0,90.0,90000.0,S,2
324,AMPONVILLE,6.0,100.0,298000.0,S,1
325,AMPUIS,3.0,75.0,250000.0,S,0
326,AMPUS,3.5,118.5,65000.0,S,0
327,AMURE,4.0,130.0,278500.0,S,2
328,AMY,5.0,86.0,110000.0,J,2
329,ANAIS,4.5,133.5,149250.0,S,2
330,ANCE FEAS,2.5,82.5,131500.0,S,0
331,ANCEAUMEVILLE,2.5,43.0,175000.0,S,0
332,ANCELLE,1.5,32.0,68450.0,S,1
333,ANCEMONT,5.0,97.0,120000.0,S,2
334,ANCENIS,3.0,104.0,110000.0,S,0
335,ANCENIS-SAINT-GEREON,3.0,81.5,205000.0,S,0
336,ANCERVILLE,3.0,72.0,96000.0,S,0
337,ANCEY,5.0,143.0,186000.0,S,2
338,ANCHE,1.0,44.0,70000.0,S,1
339,ANCIENVILLE,6.0,190.0,200000.0,S,1
340,ANCIER,4.0,116.0,164700.0,T,0
341,ANCINNES,5.5,121.0,114900.0,S,1
342,ANCIZAN,2.0,75.0,289150.0,S,0
343,ANCONE,4.0,73.0,165000.0,S,2
344,ANCOURTEVILLE SUR HERICOURT,4.0,115.0,175000.0,S,2
345,ANCRETTEVILLE-SUR-MER,3.5,118.0,229500.0,S,0
346,ANCTOVILLE-SUR-BOSCQ,4.0,132.0,242000.0,J,0
347,ANCY,5.0,100.0,250400.0,S,2
348,ANCY-LE-FRANC,2.5,69.5,45000.0,S,0
349,ANDAINVILLE,4.0,85.0,125000.0,S,2
350,ANDANCE,3.5,88.0,127500.0,S,0
351,ANDANCETTE,4.0,89.0,153000.0,S,2
352,ANDE,5.0,115.0,226000.0,S,2
353,ANDECHY,5.5,104.5,131500.0,S,1
354,ANDEL,2.0,36.0,208500.0,S,0
355,ANDELAIN,6.0,155.0,206400.0,S,1
356,ANDELAT,3.0,84.0,180650.0,S,0
357,ANDELNANS,5.0,151.0,284900.0,S,2
358,ANDELOT-BLANCHEVILLE,3.5,79.0,24000.0,S,0
359,ANDELOT-EN-MONTAGNE,3.5,120.5,103550.0,S,0
360,ANDELOT-MORVAL,1.0,36.0,22000.0,S,1
361,ANDELU,7.0,150.0,359900.0,S,1
362,ANDERNOS-LES-BAINS,4.0,82.0,397250.0,S,2
363,ANDEVILLE,4.0,99.0,211000.0,S,2
364,ANDILLY,4.0,114.0,290000.0,S,2
365,ANDOINS,2.5,136.0,246950.0,S,0
366,ANDON,2.5,51.5,106000.0,S,0
367,ANDONVILLE,3.5,85.0,159000.0,S,0
368,ANDOUILLE,5.0,119.0,155000.0,S,2
369,ANDOUILLE-NEUVILLE,8.0,182.0,195000.0,T,1
370,ANDRES,3.0,62.0,80000.0,S,0
371,ANDREST,4.0,80.0,159000.0,S,2
372,ANDRESY,3.0,60.0,231000.0,S,0
373,ANDREZEL,5.5,126.0,319500.0,S,1
374,ANDREZIEUX-BOUTHEON,2.0,81.5,197000.0,S,0
375,ANDRYES,0.0,22.0,8000.0,J,1
376,ANDUZE,3.0,71.0,110000.0,S,0
377,ANERES,2.0,49.5,78500.0,S,0
378,ANET,4.0,89.5,197500.0,S,2
379,ANGAIS,3.0,91.0,96000.0,S,0
380,ANGE,4.0,69.0,133000.0,S,2
381,ANGEAC-CHAMPAGNE,3.0,72.0,39000.0,S,0
382,ANGEAC-CHARENTE,5.0,192.0,280500.0,S,2
383,ANGECOURT,0.0,0.0,15000.0,S,1
384,ANGEOT,5.0,120.0,221000.0,S,2
385,ANGERS,2.0,49.0,143000.0,S,0
386,ANGERVILLE,5.0,91.0,181500.0,S,2
387,ANGERVILLE LA CAMPAGNE,4.0,161.0,180000.0,S,2
388,ANGERVILLE-L ORCHER,4.0,95.5,214950.0,VE,0
389,ANGERVILLE-LA-MARTEL,4.0,113.0,169000.0,VE,0
390,ANGERVILLIERS,2.0,53.0,251500.0,S,0
391,ANGEVILLE,5.0,105.0,128000.0,S,2
392,ANGICOURT,4.5,73.5,166000.0,S,2
393,ANGIENS,4.0,88.0,130000.0,S,2
394,ANGLADE,3.0,89.0,88000.0,L,0
395,ANGLARDS-DE-SALERS,3.5,76.0,81250.0,S,0
396,ANGLARS,3.0,110.0,70000.0,S,0
397,ANGLARS-JUILLAC,5.0,84.0,101000.0,S,2
398,ANGLARS-NOZAC,4.0,109.0,140000.0,S,2
399,ANGLARS-SAINT-FELIX,2.0,72.0,70000.0,S,0
400,ANGLEFORT,4.0,113.5,172500.0,S,2
401,ANGLEMONT,3.0,96.0,45000.0,S,0
402,ANGLES,3.0,75.5,126500.0,S,0
403,ANGLES-SUR-L ANGLIN,0.0,0.0,125000.0,S,1
404,ANGLESQUEVILLE-L ESNEVAL,3.0,68.0,185000.0,VE,0
405,ANGLESQUEVILLE-LA-BRAS-LONG,4.0,65.0,168000.0,VE,0
406,ANGLET,2.0,40.5,279950.0,S,0
407,ANGLIERS,4.0,94.0,217935.0,S,2
408,ANGLURE,4.0,101.0,126000.0,S,2
409,ANGOISSE,1.0,40.0,65000.0,S,1
410,ANGOULEME,3.0,63.0,103000.0,S,0
411,ANGOULINS,4.0,91.0,233500.0,S,2
412,ANGOUS,5.0,145.0,185000.0,S,2
413,ANGOUSTRINE VILLENEUVE DES,3.0,59.0,175000.0,S,0
414,ANGRES,4.5,100.5,125000.0,S,2
415,ANGRESSE,2.0,42.0,153000.0,S,0
416,ANGRIE,4.5,105.0,105000.0,S,2
417,ANGUILCOURT LE SART,3.0,77.0,112000.0,S,0
418,ANGY,3.0,81.0,135000.0,S,0
419,ANHIERS,4.0,121.0,245000.0,S,2
420,ANIANE,2.0,64.0,217875.0,S,0
421,ANICHE,5.0,101.0,106750.0,S,2
422,ANISY,4.0,134.0,510000.0,S,2
423,ANIZY LE CHATEAU,5.0,111.0,112250.0,S,2
424,ANIZY LE GRAND,4.0,79.0,105000.0,S,2
425,ANJEUX,3.0,112.0,147000.0,S,0
426,ANJOU,4.0,84.0,313500.0,S,2
427,ANJOUIN,1.5,38.0,64500.0,S,1
428,ANJOUTEY,4.0,183.5,203500.0,S,2
429,ANLEZY,2.0,56.0,35000.0,S,0
430,ANLHIAC,2.5,83.0,75000.0,BT,0
431,ANNAY,4.0,80.0,117000.0,S,2
432,ANNEBAULT,4.5,127.0,271050.0,S,2
433,ANNECY,1.0,31.5,255380.0,S,1
434,ANNEMASSE,0.0,22.0,175150.0,S,1
435,ANNEQUIN,3.5,239.5,231300.0,S,0
436,ANNESSE-ET-BEAULIEU,3.0,44.0,79500.0,S,0
437,ANNET-SUR-MARNE,3.0,57.0,224500.0,S,0
438,ANNEVILLE-AMBOURVILLE,0.0,0.0,135000.0,VE,1
439,ANNEVILLE-EN-SAIRE,0.0,0.0,290000.0,S,1
440,ANNEVILLE-LA-PRAIRIE,2.0,62.0,49000.0,S,0
441,ANNEVILLE-SUR-SCIE,2.0,46.5,122800.0,J,0
442,ANNEYRON,4.0,108.0,169000.0,S,2
443,ANNEZAY,3.0,72.0,64500.0,S,0
444,ANNEZIN,5.0,86.0,148000.0,S,2
445,ANNOEULLIN,4.0,85.0,167992.0,S,2
446,ANNOIRE,1.0,18.0,126000.0,S,1
447,ANNOIS,5.0,141.0,215650.0,S,2
448,ANNOIX,3.0,86.0,140000.0,S,0
449,ANNONAY,3.0,72.0,95000.0,S,0
450,ANNOT,4.0,63.0,181000.0,S,2
451,ANNOVILLE,4.0,140.0,290000.0,S,2
452,ANOR,4.0,118.5,119250.0,S,2
453,ANOST,4.0,79.0,79000.0,S,2
454,ANOULD,4.0,92.0,132500.0,S,2
455,ANQUETIERVILLE,4.5,148.5,183750.0,S,2
456,ANSAC-SUR-VIENNE,3.0,70.0,95000.0,S,0
457,ANSACQ,3.0,77.0,200000.0,S,0
458,ANSE,3.0,85.0,257125.0,S,0
459,ANSES D'ARLET,4.0,85.0,359000.0,S,2
460,ANSOUIS,1.0,35.0,7700.0,S,1
461,ANSTAING,4.0,90.0,313500.0,S,2
462,ANTAGNAC,5.0,120.0,135000.0,S,2
463,ANTEUIL,3.0,78.0,99550.0,S,0
464,ANTEZANT LA CHAPELLE,2.0,42.5,102500.0,S,0
465,ANTHELUPT,3.0,72.0,76000.0,S,0
466,ANTHIEN,1.0,30.0,14000.0,S,1
467,ANTHON,3.0,87.0,224000.0,S,0
468,ANTHY-SUR-LEMAN,0.0,36.5,461000.0,S,1
469,ANTIBES,0.0,22.0,199000.0,S,1
470,ANTICHAN,3.0,90.0,146300.0,S,0
471,ANTIGNAC,4.0,78.0,30500.0,S,2
472,ANTIGNY,3.0,58.5,90000.0,S,0
473,ANTISANTI,7.0,120.0,2000.0,S,1
474,ANTOIGNE,2.0,40.5,151820.505,S,0
475,ANTOINGT,4.0,104.0,196000.0,S,2
476,ANTONNE ET TRIGONANT,3.0,62.5,86500.0,AG,0
477,ANTONY,1.0,41.0,357700.0,S,1
478,ANTRAIGUES-SUR-VOLANE,0.0,22.0,135610.0,S,1
479,ANTRAN,5.0,83.0,95000.0,S,2
480,ANTRENAS,0.0,0.0,10000.0,S,1
481,ANTUGNAC,2.0,108.0,189743.0,S,0
482,ANTULLY,5.0,145.0,147500.0,J,2
483,ANVIN,2.0,357.5,139000.0,S,0
484,ANY MARTIN RIEUX,2.0,120.0,165000.0,J,0
485,ANZAT-LE-LUGUET,0.0,25.0,10000.0,S,1
